,,N_ESTIMATORS,LEARNING_RATE,MAX_DEPTH,MAE,MSE,RMSE
0,GB,50.0,0.01,3,1.2025461962972936,2.436951623875658,1.561073868808154
1,GB,50.0,0.01,5,1.2224161322647686,2.4924934009050532,1.5787632504289721
2,GB,50.0,0.01,7,1.2281229671740337,2.5267345359078397,1.5895705507802538
3,GB,50.0,0.1,3,1.5182909405106078,3.7521480883745744,1.9370462277329816
4,GB,50.0,0.1,5,1.5572876805081761,3.9175457080854845,1.9792790879725588
5,GB,50.0,0.1,7,1.5582396467011133,3.971317513100467,1.9928164775263344
6,GB,50.0,0.2,3,1.5677584326186709,4.010251144595283,2.002561146281252
7,GB,50.0,0.2,5,1.5745862227323013,4.0405826368961355,2.0101200553439926
8,GB,50.0,0.2,7,1.5718888382218645,4.039159297084849,2.0097659806765686
9,GB,100.0,0.01,3,1.290611977243046,2.780731293223111,1.6675524858975537
10,GB,100.0,0.01,5,1.3252915715776619,2.9065308126183234,1.7048550708545063
11,GB,100.0,0.01,7,1.3432210492382737,2.9795934808121265,1.7261499010260164
12,GB,100.0,0.1,3,1.5547818233174435,3.919055140820511,1.979660359965949
13,GB,100.0,0.1,5,1.5676525222044553,3.977418129654383,1.9943465420168038
14,GB,100.0,0.1,7,1.5580911485187674,4.0237489460284745,2.0059284498776306
15,GB,100.0,0.2,3,1.5862693817661686,4.152185326653052,2.037691175485886
16,GB,100.0,0.2,5,1.5796516900309163,4.134110584347558,2.033251234930784
17,GB,100.0,0.2,7,1.5711238265207326,4.0459389546701425,2.011451951867144
18,GB,200.0,0.01,3,1.4200539272419295,3.279933772669848,1.8110587435723469
19,GB,200.0,0.01,5,1.45746679305261,3.4435740233265153,1.8556869410885326
20,GB,200.0,0.01,7,1.4722632153383122,3.52904996012557,1.8785765781904047
21,GB,200.0,0.1,3,1.5617365572326614,3.9976115178615235,1.9994027903005245
22,GB,200.0,0.1,5,1.5780144915502943,4.061505569109351,2.0153177340333586
23,GB,200.0,0.1,7,1.5634021101017037,4.031566691234081,2.0078761643174317
24,GB,200.0,0.2,3,1.5983548105808334,4.28383366105802,2.0697424141805714
25,GB,200.0,0.2,5,1.5883644444817033,4.148340711747749,2.036747581745894
26,GB,200.0,0.2,7,1.5831559561994892,4.115635967829356,2.028703026031498
27,0,50.0,0.01,3,1.4894917090351336,3.605979786896731,1.8989417544771432
28,GB,50.0,0.01,3,1.1777039739944832,2.41422307146355,1.5537770340250077
29,GB,50.0,0.01,5,1.1921360399262424,2.4626026289607714,1.5692681826127652
30,GB,50.0,0.01,7,1.177696416219835,2.3812581115353018,1.543132564472444
31,GB,50.0,0.1,3,1.3943040473036419,3.231472072192489,1.7976295703488216
32,GB,50.0,0.1,5,1.4339015159252047,3.2797083849566646,1.810996517102301
33,GB,50.0,0.1,7,1.426780381269673,3.260672993080872,1.8057333671062492
34,GB,50.0,0.2,3,1.4073533526412878,3.291141283928913,1.8141502925416386
35,GB,50.0,0.2,5,1.4316827426916694,3.280083283169331,1.8111000202002459
36,GB,50.0,0.2,7,1.4418081673695653,3.3401751828453836,1.8276146155153672
37,GB,100.0,0.01,3,1.2327117830957526,2.5978867871423357,1.6117961369671834
38,GB,100.0,0.01,5,1.2631318837210657,2.6873949658119423,1.6393275956354612
39,GB,100.0,0.01,7,1.2440124641876824,2.57874125615031,1.605845962771744
40,GB,100.0,0.1,3,1.4199254370042558,3.3325803338074396,1.8255356292900558
41,GB,100.0,0.1,5,1.4512007349464415,3.3691214823629005,1.8355166799467937
42,GB,100.0,0.1,7,1.4256305211805136,3.261400455924833,1.8059347872846443
43,GB,100.0,0.2,3,1.4222327638630041,3.302491952684598,1.81727597042513
44,GB,100.0,0.2,5,1.4489025365945285,3.3771799031991336,1.8377105058194376
45,GB,100.0,0.2,7,1.4460059537090877,3.342523897852005,1.8282570655824102
46,GB,200.0,0.01,3,1.3193475359854328,2.913896647796821,1.7070139565325237
47,GB,200.0,0.01,5,1.3654716325567087,3.0264609650623417,1.7396726603192745
48,GB,200.0,0.01,7,1.3459903555433232,2.9544814062575266,1.718860496450345
49,GB,200.0,0.1,3,1.4315744342531536,3.366791546701755,1.834881889033121
50,GB,200.0,0.1,5,1.4695516631950862,3.462454648851211,1.8607672204903039
