,,K,WEIGHTS,MAE,MSE,RMSE
0,0,7.0,uniform,0.685686595342983,0.8613140147442235,0.9280700484037956
1,1,12.0,uniform,0.7172030102790016,0.9404992057941753,0.9697933830430971
2,2,13.0,uniform,0.6738780074551,0.9300692846753383,0.9644009978610237
3,3,15.0,uniform,0.6641251101321585,0.9082367626040135,0.9530145657879598
4,4,5.0,uniform,0.7238581497797358,1.0230947194713658,1.011481447912598
5,5,10.0,uniform,0.6424973568281939,0.7446835195154186,0.8629504733850133
6,6,8.0,uniform,0.5950137665198239,0.684307693488436,0.8272289244752241
7,7,12.0,uniform,0.6976038913362702,0.9699569761686244,0.9848639378963088
8,8,17.0,uniform,0.7071661052086032,0.9420914960901179,0.970613978927832
9,9,9.0,uniform,0.6682770435633874,1.0290105200413338,1.0144015575901555
10,10,15.0,uniform,0.7344619676945668,1.1859408394126285,1.089009108966784
11,11,13.0,uniform,0.6524249406980684,0.8043392946328491,0.8968496499597071
12,12,10.0,uniform,0.6784863436123347,0.8115741428193832,0.9008740993165378
13,13,4.0,uniform,0.7241420704845815,1.1311573846365637,1.0635588298898015
14,14,10.0,uniform,0.691363436123348,0.8729239640088106,0.9343039997820894
15,15,9.0,uniform,0.7941238374938816,1.223131397563496,1.1059527103649125
16,16,9.0,uniform,0.6628918257464512,0.9710588728993308,0.9854231948251121
17,17,13.0,uniform,0.6480528634361233,0.7315266486458307,0.8552933114702995
18,18,17.0,uniform,0.7422912671676599,1.0738623780924654,1.0362733124482486
19,19,15.0,uniform,0.6870511013215859,0.9051355387371512,0.9513861144336464
20,Average,11.15,,0.689529934511193,0.9371957327020777,0.9652871823370074
21,Standard Deviation,3.508832392962759,,0.04123185148112469,0.1391379192690139,0.07182245515660703
