,,HIDDEN_LAYER,ACTIVATION,MAE,MSE,RMSE
0,MLP,"(50, 50)",logistic,1.445533579363728,3.459146779413124,1.8598781625184817
1,MLP,"(50,)",logistic,1.3499642647257855,3.04598169994165,1.7452741045296152
2,MLP,"(50, 50)",logistic,1.4388244536379664,3.190681446814609,1.786247868246344
3,MLP,"(50,)",logistic,1.378428214780421,3.0440743140741455,1.7447275758909027
4,MLP,"(100,)",logistic,1.2782537544426715,2.668647829203548,1.6335996538942912
5,MLP,"(50,)",logistic,1.3663535702323502,2.8400241842839127,1.6852371299861373
6,MLP,"(50, 50)",logistic,1.3714835948704565,2.9166868325445665,1.7078310316142422
7,MLP,"(50,)",logistic,1.4093536354307712,3.3282802860218217,1.8243574995109433
8,MLP,"(50, 50)",logistic,1.4181964860336218,3.307867522103705,1.8187543875146268
9,MLP,"(50,)",logistic,1.4801531344979295,3.749333119916196,1.9363194777505586
10,MLP,"(50,)",logistic,1.4070385457172898,3.2685778849975424,1.807920873544399
11,MLP,"(50,)",logistic,1.4268969345503753,3.2396732196579836,1.7999092253938762
12,MLP,"(50,)",logistic,1.4566766331156373,3.2357899712176637,1.7988301674192768
13,MLP,"(50,)",logistic,1.4714887763836946,3.6480471836114017,1.9099861736702184
14,MLP,"(50, 50)",logistic,1.4245433739076834,3.3416330844455255,1.82801342567431
15,MLP,"(50, 50)",logistic,1.5407519386143547,3.707465545666152,1.9254780044617887
16,MLP,"(50,)",logistic,1.4836634606581205,3.498476167909725,1.870421387791993
17,MLP,"(50,)",logistic,1.3839456592110952,3.0736659833426465,1.7531873782749654
18,MLP,"(50,)",logistic,1.34059637109566,2.9380479697889172,1.7140735018630087
19,MLP,"(50,)",logistic,1.3536217225963512,2.7922624534199505,1.671006419323382
20,Average,,,1.4112884051932981,3.214718173918739,1.791052672443668
21,Standard Deviation,,,0.05775892146728811,0.28939924743474543,0.08076124984960635
