,,N_ESTIMATORS,MAX_DEPTH,MAE,MSE,RMSE
0,0,200.0,5,1.4856599937110022,3.5915364812595523,1.8951349506722608
1,1,50.0,5,1.381032137610445,3.113098417592744,1.7643974658768766
2,2,50.0,5,1.476699218461332,3.4516256421699856,1.8578551187242738
3,3,200.0,5,1.4189996330191665,3.2323089399152147,1.7978623250725332
4,4,100.0,5,1.2913204980497615,2.7109317713349843,1.6464907443818153
5,5,100.0,5,1.3794850382675226,3.012782323463586,1.735736824366985
6,6,200.0,5,1.3547103655086559,2.9841105266050856,1.727457821946772
7,7,200.0,5,1.4273841921920405,3.316088440551932,1.8210130259149526
8,8,50.0,5,1.435372742330802,3.3577186206436567,1.83240787507685
9,9,50.0,5,1.5001967321685588,3.796265199215704,1.9484006772775726
10,10,100.0,5,1.4423526624419112,3.426405744674379,1.8510553056768397
11,11,50.0,5,1.4731877454262778,3.331371631570746,1.8252045451320642
12,12,50.0,5,1.4597660547436948,3.300642030042864,1.8167669168175824
13,13,50.0,5,1.4943870591620998,3.7970807747316613,1.94860995962036
14,14,200.0,5,1.4197840670191977,3.2816979050017276,1.811545722581058
15,15,200.0,5,1.518926671818027,3.6561382834977074,1.912103104829263
16,16,50.0,5,1.4361622902597415,3.3911245874249625,1.8415006346523377
17,17,100.0,5,1.4391778157845878,3.299574246564108,1.816473023902119
18,18,200.0,5,1.338274875712535,3.0390349797549363,1.743282816916101
19,19,50.0,5,1.4228349865656487,3.151077318206309,1.7751274090065505
20,Average,,,1.4297857390126505,3.312030693211092,1.8184213134222582
21,Standard Deviation,,,0.05514535740545302,0.25944635775966274,0.0715449915238891
