,,C,KERNEL,MAE,MSE,RMSE
0,1,1.0,linear,1.483453327439831,3.5320659072442404,1.879379128128287
1,1,1.0,poly,1.5573598895583745,4.078498292386416,2.0195292254350803
2,1,1.0,rbf,1.4649868194488012,3.3586112611727694,1.8326514292611047
3,1,1.0,sigmoid,614.2257451625005,520716.9782328686,721.6072188059572
4,1,2.0,linear,1.483453327439831,3.5320659072442404,1.879379128128287
5,1,2.0,poly,1.5573598895583745,4.078498292386416,2.0195292254350803
6,1,2.0,rbf,1.4649868194488012,3.3586112611727694,1.8326514292611047
7,1,2.0,sigmoid,614.2257451625005,520716.9782328686,721.6072188059572
8,1,3.0,linear,1.483453327439831,3.5320659072442404,1.879379128128287
9,1,3.0,poly,1.5573598895583745,4.078498292386416,2.0195292254350803
10,1,3.0,rbf,1.4649868194488012,3.3586112611727694,1.8326514292611047
11,1,3.0,sigmoid,614.2257451625005,520716.9782328686,721.6072188059572
12,1,4.0,linear,1.483453327439831,3.5320659072442404,1.879379128128287
13,1,4.0,poly,1.5573598895583745,4.078498292386416,2.0195292254350803
14,1,4.0,rbf,1.4649868194488012,3.3586112611727694,1.8326514292611047
15,1,4.0,sigmoid,614.2257451625005,520716.9782328686,721.6072188059572
16,1,5.0,linear,1.483453327439831,3.5320659072442404,1.879379128128287
17,1,5.0,poly,1.5573598895583745,4.078498292386416,2.0195292254350803
18,1,5.0,rbf,1.4649868194488012,3.3586112611727694,1.8326514292611047
19,1,5.0,sigmoid,614.2257451625005,520716.9782328686,721.6072188059572
20,1,6.0,linear,1.483453327439831,3.5320659072442404,1.879379128128287
21,1,6.0,poly,1.5573598895583745,4.078498292386416,2.0195292254350803
22,1,6.0,rbf,1.4649868194488012,3.3586112611727694,1.8326514292611047
23,1,6.0,sigmoid,614.2257451625005,520716.9782328686,721.6072188059572
24,1,7.0,linear,1.483453327439831,3.5320659072442404,1.879379128128287
25,1,7.0,poly,1.5573598895583745,4.078498292386416,2.0195292254350803
26,1,7.0,rbf,1.4649868194488012,3.3586112611727694,1.8326514292611047
27,1,7.0,sigmoid,614.2257451625005,520716.9782328686,721.6072188059572
28,1,8.0,linear,1.483453327439831,3.5320659072442404,1.879379128128287
29,1,8.0,poly,1.5573598895583745,4.078498292386416,2.0195292254350803
30,1,8.0,rbf,1.4649868194488012,3.3586112611727694,1.8326514292611047
31,1,8.0,sigmoid,614.2257451625005,520716.9782328686,721.6072188059572
32,1,9.0,linear,1.483453327439831,3.5320659072442404,1.879379128128287
33,1,9.0,poly,1.5573598895583745,4.078498292386416,2.0195292254350803
34,1,9.0,rbf,1.4649868194488012,3.3586112611727694,1.8326514292611047
35,1,9.0,sigmoid,614.2257451625005,520716.9782328686,721.6072188059572
36,Average,5.0,,154.68288629973688,130181.98685208235,181.83469464719542
